# Monte Carlo run 
# Number of LJ particles: 1000 
# Atomname: Ar 
# Sigma: 3.405 A 
# Epsilon: 1.654e-21 J 
# Temparature: 95.0 K 
# Density: 1374.0 kg/m3 
# Cubic box size: 36.405 A 
# Max displacement step: 0.25 A 
# Number of equilibration steps: 500000 
# Number of production steps: 5000000 
# Output frequency: 100000 
# Step = 0
-2.9575 1.8059  -1.0033
-1.5329 -1.6865 0.1297 
1.2136  0.8612  6.0510 
2.0401  0.1429  10.4019
-1.9543 -0.4360 18.1633
1.3971  -1.0468 19.1407
2.2455  -2.9116 22.9806
-0.5186 1.7663  26.1126
-0.1623 -1.3491 28.9626
-0.5017 2.0920  31.6983
-2.4782 6.1468  0.4856 
0.2018  3.2747  0.9871 
-0.1568 4.1910  7.0657 
-3.1578 4.9912  9.6567 
-1.4559 3.7693  15.1142
0.8659  2.0538  17.5781
-2.5721 2.9458  22.5374
0.9180  4.6538  24.7340
3.7649  -0.3897 29.8507
-0.6472 4.6594  34.0868
-1.2174 9.6761  0.0997 
2.1738  4.5316  3.8660 
0.1959  7.6703  5.9077 
-1.9958 8.8899  9.7751 
-0.4643 6.2277  11.9034
0.5679  5.8380  18.0790
0.1433  6.5611  21.8402
1.9068  8.2047  24.9357
-1.2555 7.4945  27.2294
0.1537  6.9727  31.3893
2.2670  11.2208 0.1298 
-0.0143 7.4677  2.4529 
-3.4943 11.9486 8.3150 
0.0122  10.7428 7.4775 
-0.9635 8.1764  14.9295
1.5298  9.5295  18.5652
1.1347  11.2346 22.3963
2.2998  12.0853 25.9579
-0.1045 12.0194 30.1988
-1.3024 11.1828 33.2420
0.8553  13.8980 2.8196 
-0.4689 10.7082 3.2324 
0.8280  15.7517 6.7842 
-1.2810 13.9246 11.4448
-1.2076 12.7636 14.7539
0.0787  14.0019 17.8390
-3.2324 10.2475 17.0169
-2.0033 14.0698 23.2470
-0.8686 13.9661 27.3842
3.5711  13.8900 32.5977
0.8862  17.3163 0.9020 
2.0113  17.6749 4.0551 
-2.6711 16.1601 9.1445 
2.2365  16.6523 10.3095
1.2744  20.3598 14.5535
1.7637  18.2882 17.5212
-0.0843 19.5817 20.1831
-0.7339 18.8449 23.6122
0.0700  16.6864 29.7231
1.4486  17.6518 33.2754
1.1866  20.7169 2.5688 
1.7669  20.3292 6.7925 
0.1305  22.9080 8.5328 
-0.7313 22.9853 12.8578
-2.1718 20.8020 15.4069
3.1600  21.4360 19.6390
-1.5967 24.0840 25.2027
0.1139  20.9052 27.1095
-0.0456 21.1368 30.6638
0.5509  24.0650 37.6439
-2.1664 26.4538 2.4496 
1.4510  23.3298 4.9435 
-0.7408 25.8883 5.9888 
-0.1220 26.5729 9.9886 
-2.4632 26.3323 12.6800
0.1629  23.5036 16.6687
1.5661  24.7216 20.2289
-3.7702 22.5056 27.4633
-0.6726 24.0765 28.9212
2.4236  26.8834 33.5449
1.0095  28.6095 1.5561 
-0.2715 30.0257 4.3801 
0.2370  29.9710 8.3782 
-1.1192 30.5655 13.1224
-0.8574 27.9000 16.0080
1.4362  28.0956 18.5941
0.3888  27.8591 21.9518
-2.2325 28.2227 24.8507
-0.9936 28.2111 28.5266
-1.8181 28.3248 31.8569
2.1372  32.0662 -1.7270
0.7766  32.3043 1.7189 
-0.5584 32.9296 6.4557 
-2.7514 33.9016 12.5288
0.5395  35.5556 15.6485
0.5216  31.8954 20.0555
-1.1290 32.1528 23.2612
1.6903  35.5600 25.8175
-0.9525 31.4229 27.2838
-0.7984 31.9183 31.4897
2.7113  1.6306  -3.2557
3.4967  -1.1936 3.3502 
2.7393  -1.9220 7.4654 
5.6735  -1.7575 10.3357
3.1908  1.1151  14.3058
4.6008  1.3347  18.3175
4.2957  -2.2415 20.0076
5.7301  -0.6640 24.4880
6.7886  -1.1829 28.1762
0.8983  -1.3718 32.3920
3.5599  2.7771  0.1625 
5.2901  1.8554  3.7477 
4.4528  2.9032  9.4030 
0.5057  3.2479  11.5034
1.9829  4.8166  14.7214
3.9603  4.3771  20.4093
2.6423  1.0559  22.3030
3.2064  2.3378  26.5059
2.9308  4.5209  31.1255
5.6062  3.7346  33.0107
1.8927  6.7446  -1.1155
3.9845  8.0190  2.4505 
3.9001  5.9654  7.3521 
2.0058  8.1783  9.1832 
2.1155  11.1340 15.4112
4.0796  7.8571  14.5956
4.9768  6.5844  23.5151
2.3634  6.0153  27.9035
2.1067  9.2441  29.4863
5.1283  7.6955  33.4088
5.5288  9.7022  -0.1640
4.3377  11.7648 2.7919 
3.2854  9.4787  5.8201 
4.5375  10.2521 11.1194
0.8028  10.6334 12.1952
4.5892  10.1539 17.5268
4.1034  8.6077  20.8341
5.1039  10.2081 24.0277
4.9215  11.6265 30.1887
2.2335  9.7024  33.1098
5.6983  15.7824 3.4098 
3.3639  13.6252 5.7276 
4.5274  14.2084 9.8476 
2.1690  13.9732 12.9291
4.6704  13.8102 16.1405
3.0974  13.0627 20.0758
0.4993  15.6170 21.0696
